2003-01-01,2008-01-02,1
2008-01-03,2008-03-01,270
2008-03-02,2008-04-27,964
2008-04-28,2008-05-27,608
2008-05-28,2008-06-24,621
2008-06-25,2008-07-23,567
2008-07-24,2008-08-19,553
2008-08-20,2008-09-18,718
2008-09-19,2008-10-16,705
2008-10-17,2008-11-14,916
2008-11-15,2008-12-12,921
2008-12-13,2009-01-10,999
2009-01-11,2009-01-25,603
2009-01-26,2009-02-07,618
2009-02-08,2009-02-22,721
2009-02-23,2009-03-08,679
2009-03-09,2009-03-22,631
2009-03-23,2009-04-04,719
2009-04-05,2009-04-20,762
2009-04-21,2009-05-04,719
2009-05-05,2009-05-19,779
2009-05-20,2009-06-01,673
2009-06-02,2009-06-16,717
2009-06-17,2009-06-30,596
2009-07-01,2009-07-15,666
2009-07-16,2009-07-28,743
2009-07-29,2009-08-13,674
2009-08-14,2009-08-27,660
2009-08-28,2009-09-11,802
2009-09-12,2009-09-24,598
2009-09-25,2009-10-09,769
2009-10-10,2009-10-23,754
2009-10-24,2009-11-06,731
2009-11-07,2009-11-19,791
2009-11-20,2009-11-28,559
2009-11-29,2009-12-05,445
2009-12-06,2009-12-19,864
2009-12-20,2010-01-03,796
2010-01-04,2010-01-16,964
2010-01-17,2010-01-24,611
2010-01-25,2010-01-31,497
2010-02-01,2010-02-08,575
2010-02-09,2010-02-14,490
2010-02-15,2010-02-22,635
2010-02-23,2010-02-28,471
2010-03-01,2010-03-07,547
2010-03-08,2010-03-13,496
2010-03-14,2010-03-21,585
2010-03-22,2010-03-28,574
2010-03-29,2010-04-05,617
2010-04-06,2010-04-11,468
2010-04-12,2010-04-19,640
2010-04-20,2010-04-26,579
2010-04-27,2010-05-03,557
2010-05-04,2010-05-09,500
2010-05-10,2010-05-17,601
2010-05-18,2010-05-24,569
2010-05-25,2010-06-01,607
2010-06-02,2010-06-07,455
2010-06-08,2010-06-15,705
2010-06-16,2010-06-21,419
2010-06-22,2010-07-04,956
2010-07-05,2010-07-13,754
2010-07-14,2010-07-20,584
2010-07-21,2010-07-28,800
2010-07-29,2010-08-03,512
2010-08-04,2010-08-11,696
2010-08-12,2010-08-18,659
2010-08-19,2010-08-25,677
2010-08-26,2010-08-31,575
2010-09-01,2010-09-08,768
2010-09-09,2010-09-15,715
2010-09-16,2010-09-23,872
2010-09-24,2010-09-29,615
2010-09-30,2010-10-07,887
2010-10-08,2010-10-14,761
2010-10-15,2010-10-18,609
2010-10-19,2010-10-21,505
2010-10-22,2010-10-27,669
2010-10-28,2010-11-01,578
2010-11-02,2010-11-05,463
2010-11-06,2010-11-12,893
2010-11-13,2010-11-20,896
2010-11-21,2010-11-26,694
2010-11-27,2010-12-04,903
2010-12-05,2010-12-11,818
2010-12-12,2010-12-18,901
2010-12-19,2010-12-24,609
2010-12-25,2011-01-01,721
2011-01-02,2011-01-08,863
2011-01-09,2011-01-13,646
2011-01-14,2011-01-16,355
2011-01-17,2011-01-22,844
2011-01-23,2011-01-27,687
2011-01-28,2011-01-30,399
2011-01-31,2011-02-05,833
2011-02-06,2011-02-09,680
2011-02-10,2011-02-12,451
2011-02-13,2011-02-18,981
2011-02-19,2011-02-23,772
2011-02-24,2011-02-27,583
2011-02-28,2011-03-03,615
2011-03-04,2011-03-06,440
2011-03-07,2011-03-11,830
2011-03-12,2011-03-14,390
2011-03-15,2011-03-20,795
2011-03-21,2011-03-25,823
2011-03-26,2011-03-28,470
2011-03-29,2011-04-01,706
2011-04-02,2011-04-04,442
2011-04-05,2011-04-08,670
2011-04-09,2011-04-11,407
2011-04-12,2011-04-17,973
2011-04-18,2011-04-22,821
2011-04-23,2011-04-25,338
2011-04-26,2011-04-29,660
2011-04-30,2011-05-02,371
2011-05-03,2011-05-07,808
2011-05-08,2011-05-10,469
2011-05-11,2011-05-16,924
2011-05-17,2011-05-21,840
2011-05-22,2011-05-24,474
2011-05-25,2011-05-28,642
2011-05-29,2011-05-31,440
2011-06-01,2011-06-04,649
2011-06-05,2011-06-07,507
2011-06-08,2011-06-13,955
2011-06-14,2011-06-18,813
2011-06-19,2011-06-21,484
2011-06-22,2011-06-25,697
2011-06-26,2011-06-28,450
2011-06-29,2011-07-03,767
2011-07-04,2011-07-06,576
2011-07-07,2011-07-12,964
2011-07-13,2011-07-17,795
2011-07-18,2011-07-20,556
2011-07-21,2011-07-24,633
2011-07-25,2011-07-27,523
2011-07-28,2011-07-31,607
2011-08-01,2011-08-03,535
2011-08-04,2011-08-09,996
2011-08-10,2011-08-14,812
2011-08-15,2011-08-17,530
2011-08-18,2011-08-21,636
2011-08-22,2011-08-24,556
2011-08-25,2011-08-29,875
2011-08-30,2011-09-01,603
2011-09-02,2011-09-05,651
