2003-01-01,2008-01-02,0
2008-01-03,2008-08-19,297
2008-08-20,2009-04-04,720
2009-04-05,2009-11-19,889
2009-11-20,2010-03-13,603
2010-03-14,2010-07-04,641
2010-07-05,2010-10-27,867
2010-10-28,2010-12-24,486
2010-12-25,2011-02-18,555
2011-02-19,2011-04-17,685
2011-04-18,2011-06-13,703
2011-06-14,2011-08-09,698
2011-08-10,2011-10-04,767
2011-10-05,2011-12-01,836
2011-12-02,2012-01-27,837
2012-01-28,2012-02-25,536
2012-02-26,2012-03-24,586
2012-03-25,2012-04-22,570
2012-04-23,2012-05-19,545
2012-05-20,2012-06-18,580
2012-06-19,2012-07-16,599
2012-07-17,2012-08-14,589
2012-08-15,2012-09-10,491
2012-09-11,2012-10-09,557
2012-10-10,2012-11-06,638
2012-11-07,2012-12-05,539
2012-12-06,2013-01-01,500
